
> print(data.frame(condition=1:nrow(params), params), row.names=FALSE)
 condition   k delta qrpEnv censor tau
       108 100   0.5   none      B 0.0
       109  10   0.8   none      B 0.0
       110  30   0.8   none      B 0.0
       111  60   0.8   none      B 0.0
       112 100   0.8   none      B 0.0
       113  10   0.0    med      B 0.0
       114  30   0.0    med      B 0.0
       115  60   0.0    med      B 0.0
       116 100   0.0    med      B 0.0
       117  10   0.2    med      B 0.0
       118  30   0.2    med      B 0.0
       119  60   0.2    med      B 0.0
       120 100   0.2    med      B 0.0
       121  10   0.5    med      B 0.0
       122  30   0.5    med      B 0.0
       123  60   0.5    med      B 0.0
       124 100   0.5    med      B 0.0
       125  10   0.8    med      B 0.0
       126  30   0.8    med      B 0.0
       127  60   0.8    med      B 0.0
       128 100   0.8    med      B 0.0
       129  10   0.0   high      B 0.0
       130  30   0.0   high      B 0.0
       131  60   0.0   high      B 0.0
       132 100   0.0   high      B 0.0
       133  10   0.2   high      B 0.0
       134  30   0.2   high      B 0.0
       135  60   0.2   high      B 0.0
       136 100   0.2   high      B 0.0
       137  10   0.5   high      B 0.0
       138  30   0.5   high      B 0.0
       139  60   0.5   high      B 0.0
       140 100   0.5   high      B 0.0
       141  10   0.8   high      B 0.0
       142  30   0.8   high      B 0.0
       143  60   0.8   high      B 0.0
       144 100   0.8   high      B 0.0
       145  10   0.0   none      0 0.2
       146  30   0.0   none      0 0.2
       147  60   0.0   none      0 0.2
       148 100   0.0   none      0 0.2
       149  10   0.2   none      0 0.2
       150  30   0.2   none      0 0.2
       151  60   0.2   none      0 0.2
       152 100   0.2   none      0 0.2
       153  10   0.5   none      0 0.2
       154  30   0.5   none      0 0.2
       155  60   0.5   none      0 0.2
       156 100   0.5   none      0 0.2
       157  10   0.8   none      0 0.2
       158  30   0.8   none      0 0.2
       159  60   0.8   none      0 0.2
       160 100   0.8   none      0 0.2
       161  10   0.0    med      0 0.2
       162  30   0.0    med      0 0.2
       163  60   0.0    med      0 0.2
       164 100   0.0    med      0 0.2
       165  10   0.2    med      0 0.2
       166  30   0.2    med      0 0.2
 [ reached getOption("max.print") -- omitted 266 rows ]

> sink()
